hour,id,count
0,00010fd3ee560483c21bb98e414741c7,3.0
1,00010fd3ee560483c21bb98e414741c7,2.0
2,00010fd3ee560483c21bb98e414741c7,0.0
3,00010fd3ee560483c21bb98e414741c7,1.0
4,00010fd3ee560483c21bb98e414741c7,0.0
5,00010fd3ee560483c21bb98e414741c7,0.0
6,00010fd3ee560483c21bb98e414741c7,1.0
7,00010fd3ee560483c21bb98e414741c7,6.0
8,00010fd3ee560483c21bb98e414741c7,6.0
9,00010fd3ee560483c21bb98e414741c7,4.0
10,00010fd3ee560483c21bb98e414741c7,3.0
11,00010fd3ee560483c21bb98e414741c7,2.0
12,00010fd3ee560483c21bb98e414741c7,0.0
13,00010fd3ee560483c21bb98e414741c7,4.0
14,00010fd3ee560483c21bb98e414741c7,4.0
15,00010fd3ee560483c21bb98e414741c7,5.0
16,00010fd3ee560483c21bb98e414741c7,2.0
17,00010fd3ee560483c21bb98e414741c7,1.0
18,00010fd3ee560483c21bb98e414741c7,3.0
19,00010fd3ee560483c21bb98e414741c7,0.0
20,00010fd3ee560483c21bb98e414741c7,2.0
21,00010fd3ee560483c21bb98e414741c7,0.0
22,00010fd3ee560483c21bb98e414741c7,2.0
23,00010fd3ee560483c21bb98e414741c7,1.0
0,0006da955dbe286a729ac6847ec22e6f,0.0
1,0006da955dbe286a729ac6847ec22e6f,1.0
2,0006da955dbe286a729ac6847ec22e6f,1.0
3,0006da955dbe286a729ac6847ec22e6f,0.0
4,0006da955dbe286a729ac6847ec22e6f,0.0
5,0006da955dbe286a729ac6847ec22e6f,0.0
6,0006da955dbe286a729ac6847ec22e6f,3.0
7,0006da955dbe286a729ac6847ec22e6f,1.0
8,0006da955dbe286a729ac6847ec22e6f,3.0
9,0006da955dbe286a729ac6847ec22e6f,0.0
10,0006da955dbe286a729ac6847ec22e6f,2.0
11,0006da955dbe286a729ac6847ec22e6f,3.0
12,0006da955dbe286a729ac6847ec22e6f,3.0
13,0006da955dbe286a729ac6847ec22e6f,2.0
14,0006da955dbe286a729ac6847ec22e6f,4.0
15,0006da955dbe286a729ac6847ec22e6f,2.0
16,0006da955dbe286a729ac6847ec22e6f,3.0
17,0006da955dbe286a729ac6847ec22e6f,2.0
18,0006da955dbe286a729ac6847ec22e6f,1.0
19,0006da955dbe286a729ac6847ec22e6f,0.0
20,0006da955dbe286a729ac6847ec22e6f,3.0
21,0006da955dbe286a729ac6847ec22e6f,1.0
22,0006da955dbe286a729ac6847ec22e6f,0.0
23,0006da955dbe286a729ac6847ec22e6f,0.0
0,00520114b0a7f9d36eafa7e42f03196e,1.0
1,00520114b0a7f9d36eafa7e42f03196e,0.0
2,00520114b0a7f9d36eafa7e42f03196e,0.0
3,00520114b0a7f9d36eafa7e42f03196e,0.0
4,00520114b0a7f9d36eafa7e42f03196e,0.0
5,00520114b0a7f9d36eafa7e42f03196e,0.0
