wz_id,segmentid,created_date,closed_date,created_season,closed_season,duration_days,purpose,geometry,length_ft
1777_0,[271227 271228],2018-06-09,2018-07-02,summer,summer,23,"[""['Occupancy Of Roadway As Stipulated', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((982903.196901392 209478.763148315, 982881.6088224535 209489.0179151473), (982881.6088224535 209489.0179151473, 982182.986051252 209873.9640800655))",821.5573027538281
1778_0,[9010040   68948 9010041],2018-06-09,2018-07-23,summer,summer,44,"[""['Occupancy Of Roadway As Stipulated', 'Place Equipment Other Than Crane Or Shov', 'Place Material On Street']""]","MULTILINESTRING ((1008983.305596577 222055.7975866066, 1008843.71528647 221904.7747962989), (1008515.801584396 221550.0051587759, 1008383.179894341 221410.8824507408), (1008843.71528647 221904.7747962989, 1008515.801584396 221550.0051587759))",880.964123091833
1779_0,[196774  30273  30270],2018-06-10,2018-06-18,summer,summer,8,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street', 'Place Material On Street']""
 ""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((992976.8129252529 197966.8571819931, 992988.6079955546 197656.4134944964), (992976.1181902053 198249.4218084015, 992976.8129252529 197966.8571819931), (992976.8129252529 197966.8571819931, 993412.9375449036 197901.4143261238))",1034.2404737766396
177_0,"[269858 166026 166031 166025 165402 165401  36343 271332  36133  37744
 269857 271331  34106  36135 166032  37641  36251  37647  35858  37858
  37750  37484  36141  34218]",2017-04-28,2017-05-14,spring,spring,16,"[""['Ddc Contractor Major Reconstruction-Prot']""
 ""['D.D.C. Contractor Major Reconstruction', 'Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Equipment Other Than Crane Or Shov']""
 ""['D.D.C. Contractor Major Reconstruction']""]","MULTILINESTRING ((989456.8790955453 216844.5538598732, 989139.1060866627 217019.7719471644), (995548.5846061572 222594.3800031883, 995580.2447446695 222577.775672463), (995580.2447446695 222577.775672463, 995610.1594756154 222561.9884327802), (995133.8887907491 222825.0070295428, 995548.5846061572 222594.3800031883), (991810.4640600792 215838.8852261956, 991837.1209797772 215824.0855684114), (991390.846878211 216071.8713845174, 991810.4640600792 215838.8852261956), (994005.797577159 214621.2713581669, 994625.6317988582 214278.0372126218), (990508.8892781131 216260.7699230477, 989925.2594769049 216584.7375851454), (992159.2575794358 215346.8879288817, 992603.1301815377 215101.7431799573), (997093.548706137 221739.9149067493, 997749.0294094563 221376.4023534251), (989925.2594769049 216584.7375851454, 989456.8790955453 216844.5538598732), (990818.6670622289 216088.8149841925, 990508.8892781131 216260.7699230477), (988899.7386270186 217152.3654523556, 988352.0570077383 217457.0304775049), (992285.7276969599 215574.3082613173, 992728.9636946766 215328.9732133196), (995610.1594756154 222561.9884327802, 996028.6874126887 222329.645519434), (996028.6874126887 222329.645519434, 996472.4909652829 222084.0874348571), (993350.1005017582 214988.7934839345, 994005.797577159 214621.2713581669), (996472.4909652829 222084.0874348571, 997093.548706137 221739.9149067493), (990945.6457864214 216319.0240002779, 991390.846878211 216071.8713845174), (998372.8922826488 221030.586115795, 999025.0493917535 220669.9408141517), (997749.0294094563 221376.4023534251, 998372.8922826488 221030.586115795), (994689.996652527 223070.8865938464, 995133.8887907491 222825.0070295428), (992728.9636946766 215328.9732133196, 993350.1005017582 214988.7934839345), (989139.1060866627 217019.7719471644, 988899.7386270186 217152.3654523556))",11977.924064538025
1780_0,[293431 291251 293432   6008 291254 291255 293429 291250],2018-06-11,2018-06-13,summer,summer,2,"[""['D.D.C. Contractor Major Reconstruction']""]","MULTILINESTRING ((941359.6110634728 139261.8985298481, 941165.2106457943 139136.4321026249), (940856.3342438989 138846.85968168, 940850.2963789094 138841.5356747681, 940844.2235468396 138836.2805066607, 940838.116206883 138831.0945749796, 940831.9748194359 138825.9782690667, 940825.7998462485 138820.9319731529, 940819.5917524633 138815.9560696709, 940813.3510046353 138811.0509314585, 940803.1505689678 138803.2372047485, 940792.8721485841 138795.6013122742, 940782.5175491851 138788.1445952844, 940772.0885908481 138780.8683635718, 940761.587107025 138773.7738956214, 940751.0149415205 138766.8624386152, 940740.3739523648 138760.1352064856), (941165.2106457943 139136.4321026249, 941119.3377145159 139100.4299505919), (941397.0143073595 139284.5954986692, 941359.6110634728 139261.8985298481), (941059.7449224661 139049.314017879, 940951.792348162 138940.8571577144), (940951.792348162 138940.8571577144, 940880.5958254945 138869.3278514208), (941119.3377145159 139100.4299505919, 941115.0085264847 139096.8877912342, 941110.6882451461 139093.3269740147, 941106.3769161912 139089.7475383026, 941102.074587519 139086.1495221382, 941097.7813067088 139082.5329645327, 941093.4971159756 139078.897906133, 941089.2220669111 139075.2443838642, 941084.982938343 139071.5953371409, 941080.7531024978 139067.9277917561, 941076.5326027655 139064.2417888679, 941072.3214877705 139060.5373685003, 941068.1198061036 139056.8145716441, 941063.9276012889 139053.0734409441, 941059.7449224661 139049.314017879), (940880.5958254945 138869.3278514208, 940878.8883385796 138867.6882766664, 940877.1775501386 138866.0546271818, 940875.4634751647 138864.426915842, 940873.7461237924 138862.8051525765, 940872.0255091876 138861.189348625, 940870.3016424824 138859.5795165513, 940868.5745351482 138857.9756666335, 940866.8354620236 138856.3696893952, 940865.0931866788 138854.7696875706, 940863.3477254899 138853.1756717677, 940861.599088081 138851.5876515998, 940859.8472876175 138850.0056396076, 940858.0923367533 138848.4296454092, 940856.3342438989 138846.85968168))",843.952847465978
1781_0,[21360],2018-06-11,2018-06-20,summer,summer,9,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((988343.2196236806 171781.4477364635, 988953.8090678634 171297.145267119))",779.3384060603242
1782_0,[175861],2018-06-11,2018-07-08,summer,summer,27,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((1010677.804155938 249356.6871274631, 1011134.681586445 249237.9722810286))",472.0489394868122
1783_0,[114853 112226 114852 114850 114851],2018-06-11,2018-07-11,summer,summer,30,"[""['Removal Of Poles']""]","MULTILINESTRING ((959361.4258961285 163461.4580575694, 959020.3335106111 163611.2569361101), (953680.3770443586 153351.5088565124, 953541.9951060526 153334.4514539343), (959608.1214236515 163399.5919260463, 959544.673566016 163406.2452694681, 959481.8553756716 163418.8861212903, 959420.503752216 163437.3865834559, 959361.4258961285 163461.4580575694), (959867.2549957432 163326.0394090796, 959843.9675095561 163328.8379523252), (959843.9675095561 163328.8379523252, 959608.1214236515 163399.5919260463))",1037.3988911524589
1784_0,[91062 84373],2018-06-11,2018-09-03,summer,summer,84,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1030515.680930272 216521.1870029863, 1030584.473795075 216555.7081073021), (1029981.670820962 216301.5638490584, 1030118.353971259 216348.26352183, 1030253.141107163 216400.5175721237, 1030385.690627273 216458.2111993205, 1030515.680930272 216521.1870029863))",654.9739496599766
1785_0,"[115028  13962  81096  16196  13994  16272  16348  16203  16318 118584
 115020  16210  13964  16316  16315  16287 279316  13960  16265  16173
  16313 216254  16322 279318 279319 107955  16193  16365  16192  16198
  16295  16279  16263 115023  13958  16319  16205  16309  16191  16308
  16195 279311 279312 216253 118583  16304  13989  16324  16197  73414
  16284  16207 112492  16184  16186  13995 289317  16310  16176  16202
  13984  16305 289316  16294  16206]",2018-06-11,2018-09-09,summer,summer,90,"[""['Contract Roadway Milling', 'Dot In-House Paving']""
 ""['Contract Roadway Milling']""]","MULTILINESTRING ((961448.9658476688 172750.8403071408, 961441.5188086372 172682.1099848844), (959018.8645514532 170814.2059217321, 959079.342567918 170354.2130243593), (1012699.48578974 266676.8596095623, 1012329.754519646 266635.7000955734), (960742.8790085 172035.9004745612, 959954.0334688076 171893.1253583939), (959766.0927991275 171570.9270030345, 960062.5045941123 171231.2236420777), (961737.9468523838 171710.6025024222, 961513.33162746 171666.943440542), (962127.9880170753 171783.9175009436, 961871.4438345456 171735.688214551), (960452.7735305302 173494.3595701895, 960485.5595658009 173370.0257365791), (961894.1435261574 173072.3378102961, 962000.6357334908 172476.587146469), (961714.2435073203 173482.7402188029, 961716.5434820171 173448.701679457, 961723.2432527628 173414.958257054, 961734.2275152252 173382.3598523803, 961749.1785654551 173351.6938652613), (960258.6279349728 170855.9358651767, 960387.7651284628 170763.4363967297), (960898.821178148 173706.9791346631, 960669.7508720262 173597.6017227677), (959193.6148001379 170818.8717318636, 959318.5418207709 170460.492759503), (961749.1785654551 173351.6938652613, 961776.9442284998 173336.5234481569, 961802.6627163017 173316.7663167527, 961825.231826899 173292.9180675563, 961843.7423565844 173265.795398356, 961857.5811001924 173236.4680083825, 961866.5050518146 173206.1103984364), (961636.8378195098 173701.0897326146, 961883.9293912546 173855.7951933768), (961550.5729193721 172184.8960942634, 960742.8790085 172035.9004745612), (1009328.044751842 261235.5241329933, 1009412.992041602 261227.8661293468), (959079.342567918 170354.2130243593, 959114.6195595837 170088.9214511907), (961565.2920271617 171930.6147931718, 960787.5486668084 171789.9428153154), (960062.5045941123 171231.2236420777, 959937.62039572 171096.098541157), (961637.3530372485 173021.1885813363, 961685.0578334208 172726.5693441346), (960897.1824369254 173083.3847084566, 960560.4998377883 173024.4733778686), (961300.2514908117 174183.3518099677, 960773.5251097145 173923.7895401458), (1009412.992041602 261227.8661293468, 1009423.913732186 261229.1313641261, 1009434.736881524 261231.4343581273, 1009445.404775641 261234.7630442136, 1009455.861511717 261239.0999782372, 1009466.05229421 261244.4224341006, 1009475.923722434 261250.7025219749, 1009485.424067928 261257.907333208, 1009490.495835488 261262.2556410485, 1009495.352748796 261267.0105979006, 1009499.976066218 261272.153860019, 1009504.347951661 261277.6655818154, 1009508.451538766 261283.5244994105, 1009512.270993137 261289.7080076295, 1009515.791581253 261296.1922498923, 1009518.999718665 261302.9522090454, 1009521.88302964 261309.961803869, 1009524.430388357 261317.1939910836, 1009526.631968428 261324.6208673811), (1009526.631968428 261324.6208673811, 1009541.913784758 261386.0617085258), (961419.7308258037 173297.9787524124, 961467.2274384855 173290.4495203075, 961515.9314245476 173287.9200996079, 961565.0453833799 173290.600787675, 961613.7329152427 173298.5406815306, 961661.1571213795 173311.598477915, 961706.534203853 173329.4694735498, 961749.1785654551 173351.6938652613), (960650.8064811806 172529.3314772204, 960696.7623410255 172283.4985280826), (962000.6357334908 172476.587146469, 962127.9880170753 171783.9175009436), (960650.8064811806 172529.3314772204, 960047.7212262802 172419.7165345203), (960195.0660675219 173153.423776656, 959912.1695978406 173196.7889714471), (961742.1327418818 172428.0987323697, 961871.4438345456 171735.688214551), (961871.4438345456 171735.688214551, 961737.9468523838 171710.6025024222), (961513.33162746 171666.943440542, 960229.6091749264 171421.5487641614), (960994.5429773359 174310.7651993708, 960772.355655096 174201.8929972167), (959114.6195595837 170088.9214511907, 959259.3022571779 169824.8210431159), (961866.5050518146 173206.1103984364, 961894.1435261574 173072.3378102961), (960560.4998377883 173024.4733778686, 960153.1741894834 172945.2119645517), (961590.0658914822 173769.21274994, 961636.8378195098 173701.0897326146), (960696.7623410255 172283.4985280826, 960742.8790085 172035.9004745612), (961590.0658914822 173769.21274994, 961279.0373280017 173601.117836418), (960605.4444199248 172775.0758257543, 960650.8064811806 172529.3314772204), (1009024.542367932 261171.1132542926, 1009034.974238185 261171.3508915096, 1009045.398512139 261171.9220363091, 1009055.809052138 261172.8263527925, 1009066.199725009 261174.0633070444, 1009076.56440875 261175.6321710548, 1009086.896999592 261177.5320206793, 1009097.191407324 261179.761737288, 1009107.227723437 261182.264490241, 1009117.212578478 261185.1013116921, 1009127.139568579 261188.2703826199, 1009137.002329772 261191.7696699798, 1009146.794539482 261195.5969304536, 1009156.509914501 261199.7497098405, 1009166.142225385 261204.2253461615), (1009166.142225385 261204.2253461615, 1009241.158055041 261244.1461246758), (961148.8826531278 173129.5592091249, 960897.1824369254 173083.3847084566), (961636.8378195098 173701.0897326146, 961663.0320057101 173662.4184778829, 961684.3840125368 173620.2335995718, 961700.2438354098 173575.4894966592, 961710.2308689347 173529.2756692886, 961714.2435073203 173482.7402188029), (961473.7756105175 173989.4123113673, 960898.821178148 173706.9791346631), (959630.29398209 171308.8762152383, 959937.62039572 171096.098541157), (961391.0880248109 174148.8738131348, 961473.7756105175 173989.4123113673), (960742.8790085 172035.9004745612, 960787.5486668084 171789.9428153154), (1009541.913784758 261386.0617085258, 1009653.980503973 261835.4741494949), (961414.4616593893 172675.4430760931, 960650.8064811806 172529.3314772204), (960669.7508720262 173597.6017227677, 960452.7735305302 173494.3595701895), (958512.5603394553 170773.0295265089, 958545.5503001418 170553.0200120031), (960787.5486668084 171789.9428153154, 960026.8394502832 171660.5636376192), (960079.5576623714 172579.6280456589, 959840.7653535118 172627.3994262889), (959937.62039572 171096.098541157, 960129.4874398719 170948.435330808), (962363.9503348718 171828.2193106839, 962127.9880170753 171783.9175009436), (961509.7995313751 173923.972958776, 961590.0658914822 173769.21274994), (960229.6091749264 171421.5487641614, 960062.5045941123 171231.2236420777), (960452.7735305302 173494.3595701895, 960237.9454871903 173391.8161318684), (959520.0165165942 171091.0543758487, 959770.2572606766 170709.9597994984), (961473.7756105175 173989.4123113673, 961509.7995313751 173923.972958776), (962383.295539636 171824.8205748856, 962363.9503348718 171828.2193106839), (961685.0578334208 172726.5693441346, 961742.1327418818 172428.0987323697), (960560.4998377883 173024.4733778686, 960605.4444199248 172775.0758257543))",21915.708971381704
