wz_id,segmentid,created_date,closed_date,created_season,closed_season,duration_days,purpose,geometry,length_ft,bounding_geometry,bounding_area
2779_0,[112442],2019-02-27,2019-05-28,winter,spring,90,"[""['Removal Of Poles']""]","MULTILINESTRING ((958655.043975811 166432.9328525288, 958671.9150826106 166223.9042817728))",209.70831561233203,"LINESTRING (958655.043975811 166432.9328525288, 958671.9150826106 166223.9042817728)",0.0
277_0,[185850 185849],2017-05-22,2017-05-26,spring,spring,4,"[""['Dot In-House Paving']""]","MULTILINESTRING ((988030.6125737091 151665.7865142413, 987433.703422855 151577.8170664211), (988047.295602723 151667.5648190832, 988030.6125737091 151665.7865142413))",620.1341155725328,"POLYGON ((988047.2008231231 151668.2128132627, 987433.6086432551 151578.4650606005, 987433.703422855 151577.8170664211, 988047.295602723 151667.5648190832, 988047.2008231231 151668.2128132627))",406.11041720386316
2780_0,[194056],2019-02-28,2019-05-24,winter,spring,85,"[""['Dep Contractor Major Installation Sewer']""]","MULTILINESTRING ((1029273.437458497 251678.1830405431, 1029390.147005268 251649.0663050732))",120.2867515230776,"LINESTRING (1029273.437458497 251678.1830405431, 1029390.147005268 251649.0663050732)",0.0
2781_0,[72271],2019-02-28,2019-06-28,winter,summer,120,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1009444.299382299 241764.5275527035, 1009702.747643343 242326.6414697838))",618.6821149931919,"LINESTRING (1009444.299382299 241764.5275527035, 1009702.747643343 242326.6414697838)",0.0
2782_0,[130197 130196],2019-03-01,2019-03-08,winter,winter,7,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1016743.644013298 200220.8701193577, 1016855.553762435 200219.8107109244), (1016615.526999102 200222.0836711004, 1016743.644013298 200220.8701193577))",240.03752511713677,"POLYGON ((1016615.526995945 200222.0833377267, 1016855.553759278 200219.8103775507, 1016855.553762435 200219.8107109244, 1016615.526999102 200222.0836711004, 1016615.526995945 200222.0833377267))",0.08002579874753911
2783_0,[23879],2019-03-01,2019-03-11,winter,winter,10,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((985445.3872793821 194181.1093140594, 985682.2153798358 194094.8435711371))",252.05024809836712,"LINESTRING (985445.3872793821 194181.1093140594, 985682.2153798358 194094.8435711371)",0.0
2785_0,[35841],2019-03-02,2019-03-04,winter,winter,2,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((990440.3788923748 215405.4749233671, 990886.3182939121 215158.0796026023))",509.9670524452849,"LINESTRING (990440.3788923748 215405.4749233671, 990886.3182939121 215158.0796026023)",0.0
2787_0,[23907],2019-03-02,2019-04-12,winter,spring,41,"[""['Occupancy Of Roadway As Stipulated', 'Place Equipment Other Than Crane Or Shov', 'Repair Gas']""]","MULTILINESTRING ((985629.8228771491 195211.9616380463, 985786.9067340334 195139.4883391007))",172.99629231197486,"LINESTRING (985629.8228771491 195211.9616380463, 985786.9067340334 195139.4883391007)",0.0
2788_0,[33791],2019-03-04,2019-03-11,winter,winter,7,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street', 'Place Equipment Other Than Crane Or Shov', 'Place Material On Street']""]","MULTILINESTRING ((986377.4834234953 210179.0320465988, 985592.6754275075 210613.1676051554))",896.8819731545874,"LINESTRING (986377.4834234953 210179.0320465988, 985592.6754275075 210613.1676051554)",0.0
2789_0,[30979],2019-03-04,2019-05-01,winter,spring,58,"[""['Dep Contractor Major Installation Sewer']""]","MULTILINESTRING ((996336.3872805238 199190.150517004, 996715.0760348062 199013.7932574649))",417.7404165412857,"LINESTRING (996336.3872805238 199190.150517004, 996715.0760348062 199013.7932574649)",0.0
2790_0,[43375],2019-03-04,2019-06-11,winter,summer,99,"[""['Dot In-House Milling', 'Dot In-House Paving', 'Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((1004919.348959829 183178.5381097149, 1005736.892843526 183121.5042899465))",819.5308770071741,"LINESTRING (1004919.348959829 183178.5381097149, 1005736.892843526 183121.5042899465)",0.0
2791_0,[3243],2019-03-05,2019-03-30,winter,winter,25,"[""['Repair Sewer - Protected']""]","MULTILINESTRING ((935356.3351539305 130858.5752712952, 935687.1312073002 130298.3407765568))",650.6064232850748,"LINESTRING (935356.3351539305 130858.5752712952, 935687.1312073002 130298.3407765568)",0.0
2792_0,[91062 84373],2019-03-05,2019-04-02,winter,spring,28,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1030515.680930272 216521.1870029863, 1030584.473795075 216555.7081073021), (1029981.670820962 216301.5638490584, 1030118.353971259 216348.26352183, 1030253.141107163 216400.5175721237, 1030385.690627273 216458.2111993205, 1030515.680930272 216521.1870029863))",654.9739496599767,"POLYGON ((1029987.219166163 216288.4037681971, 1030590.022140276 216542.5480264408, 1030584.473795075 216555.708107302, 1029981.670820962 216301.5638490584, 1029987.219166163 216288.4037681971))",9343.015958428863
2793_0,[44424],2019-03-05,2019-04-04,winter,spring,30,"[""['Pave Street-W/ Engineering & Insp Fee']""]","MULTILINESTRING ((1002782.834883442 194631.6743845702, 1003092.353458965 195042.2075507717))",514.1393090841523,"LINESTRING (1002782.834883442 194631.6743845702, 1003092.353458965 195042.2075507717)",0.0
