node_id,roadway_type,street_width,posted_speed,number_total,number_travel,number_park
006766b04b697447b47c53157743ed3c,Street,30.0,25,3,2,-1
00688a77b92c4cb07f5bbb921962e2eb,Street,44.0,25,4,1,1
00688f9b3bee5c1d841d76da6cc4ac9d,Street,36.0,25,4,3,-1
0069048449e3ef6b253a595d442ee0b7,Street,30.0,25,3,1,2
0069a55b85c9508d0b41110d90bdad0a,Street,44.0,25,3,2,2
0069a65cd78490ec9850cfeef2d9e2ca,Street,60.0,25,2,1,1
0069c54335c2187153716d2032b7e6a3,Street,42.0,25,4,3,1
0069c6f7da1dba25d529335db0d14000,Street,20.0,25,2,1,1
006d60ba522789c632dc19fc1568ba5d,Street,36.0,25,3,2,1
006e97ee3dadff22b52b8dbc79a8f6d5,Street,32.0,30,3,3,-1
006f0e8c33c812cb30ea46115535385c,Street,40.0,25,4,3,1
006fe581ab2316f064eb961bc35f6be3,Street,30.0,25,3,1,2
0070e8ec7bf0278a48ffc2ff68ad780a,Street,24.0,25,3,1,2
00715a5682c5ae9ea26d1673814d3313,Street,28.0,25,3,1,2
00716a0fe7d348a6bc7886b755490aeb,Street,30.0,25,3,1,2
0072d9826381ecc2daacec499583aaf7,Street,18.0,25,2,2,-1
007389dc6fe388ded6d6ead8eaebb4d8,Street,30.0,25,3,1,2
0073f57e354b28bd477ea9a3fb672f2b,Street,30.0,25,3,1,2
0074840974b09162fd61578357747d12,Street,30.0,25,3,1,2
0075fb7354b4c6fa543ddbeffd4cf24f,Street,40.0,25,4,2,2
00774bbe13e99242b0768992f9f26a8e,Street,30.0,25,3,1,2
0078e513bdf1e237df70a9fe8d1ed0cd,Street,30.0,25,3,1,2
0079c0d789829925ce010c0729c023d4,Street,32.0,30,2,2,-1
0079fdeb2be76d74df91e9def3cab012,Street,30.0,25,3,1,2
007a2925da52837db014a08c9a175732,Street,30.0,25,3,1,2
007b75280f1caa9c97f992eb4a6831d6,Street,30.0,25,3,1,2
007bb16e1c86d609ef221691544de189,Street,40.0,25,3,1,2
007cf1fab8533fec4f8b00af28d8526c,Unknown,-1.0,25,-1,-1,-1
007d6cf9f0ba5dad825fdcf0367f4923,Street,32.0,25,3,1,2
007dac1691b94677c6aaf8d0aa311bd4,Street,36.0,30,4,2,-1
007f57c8c80304dc87568b2a60f7db02,Street,44.0,25,4,2,2
0080335e6ed97862c5db3cbf8f7b3c9f,Street,22.0,-1,2,1,1
0087300f0e43d53b3e7a537e51588557,Street,34.0,25,3,1,2
0089026f4a512f0b0293b305ed941704,Street,34.0,25,2,2,1
00892c3931a648c6e8b88448b5bb67a6,Street,30.0,25,3,1,-1
008b2d069fadd7d586914e2c927163b1,Street,16.0,25,1,1,-1
008ca0198fb7f6a1472b99224d52073a,Street,28.0,-1,3,1,2
008f912a77ee306696798ea5dec814fe,Street,30.0,25,3,1,2
0091a77d5b430d0e0041d1b6e46c7da6,Street,25.0,25,-1,1,-1
009329d46251c45966954a29ebd3f57e,Street,20.0,25,4,2,-1
0093c567dc708b8bd3ad5bae99146dc2,Unknown,-1.0,-1,-1,-1,-1
00945d9f142cc3550406197638da57a4,Street,30.0,-1,3,1,2
0095057409bea709bdbee7daa3496d89,Street,20.0,25,2,1,1
009534d63fa4da3867430fe31771e8f6,Street,30.0,25,3,1,2
00996207ebbedfc4e3d9843dcf7e35c6,Street,38.0,30,3,2,1
009988710e8e3ed995ffaaaf8aa051d5,Street,48.0,20,4,2,2
009c091b36b6e7dea7d8b6606e4c7961,Street,34.0,25,3,1,2
